action,group,payoff,player,round,reputation,avg_action,wealth
0.0,9,0,3,9,reputation = 0,0.8,2650.0
1.0,9,-150,3,10,reputation = 0,0.8333333333333334,2500.0
,9,0,3,11,reputation = 0,0.8333333333333334,2500.0
,9,250,3,12,reputation = 0,0.8333333333333334,2750.0
1.0,9,-150,3,13,reputation = 0,0.8571428571428571,2600.0
1.0,9,-150,3,14,reputation = 0,0.875,2450.0
,9,250,3,15,reputation = 0,0.875,2700.0
,9,0,3,16,reputation = 0,0.875,2700.0
1.0,9,-150,3,17,reputation = 0,0.8888888888888888,2550.0
,9,0,3,18,reputation = 0,0.8888888888888888,2550.0
,9,0,3,19,reputation = 0,0.8888888888888888,2550.0
,9,0,3,20,reputation = 0,0.8888888888888888,2550.0
,9,0,3,21,reputation = 0,0.8888888888888888,2550.0
,9,0,3,22,reputation = 0,0.8888888888888888,2550.0
,9,0,3,23,reputation = 0,0.8888888888888888,2550.0
0.0,9,0,3,24,reputation = 0,0.8,2550.0
,9,0,3,25,reputation = 0,0.8,2550.0
0.0,9,0,3,26,reputation = 0,0.7272727272727273,2550.0
0.0,9,0,3,27,reputation = 0,0.6666666666666666,2550.0
0.0,9,0,3,28,reputation = 0,0.6153846153846154,2550.0
0.0,9,0,3,29,reputation = 0,0.5714285714285714,2550.0
,9,0,3,30,reputation = 0,0.5714285714285714,2550.0
0.0,9,0,3,31,reputation = 0,0.5333333333333333,2550.0
,9,0,3,32,reputation = 0,0.5333333333333333,2550.0
,9,0,3,33,reputation = 0,0.5333333333333333,2550.0
0.0,9,0,3,34,reputation = 0,0.5,2550.0
,9,0,3,35,reputation = 0,0.5,2550.0
0.0,9,0,3,36,reputation = 0,0.47058823529411764,2550.0
,9,0,3,37,reputation = 0,0.47058823529411764,2550.0
0.0,9,0,3,38,reputation = 0,0.4444444444444444,2550.0
,9,0,3,39,reputation = 0,0.4444444444444444,2550.0
0.0,9,0,3,40,reputation = 0,0.42105263157894735,2550.0
,9,0,3,41,reputation = 0,0.42105263157894735,2550.0
,9,250,3,42,reputation = 0,0.42105263157894735,2800.0
