version,reputation,group,player,round,action,avg_action,wealth
disincentivized strategic,reputation = 0,081106_1449,8,6,0.85,0.7999999999999999,872.0
disincentivized strategic,reputation = 0,081106_1449,8,7,0.85,0.807142857142857,1023.0
disincentivized strategic,reputation = 0,081106_1449,8,8,0.8,0.8062499999999999,1169.4
disincentivized strategic,reputation = 0,081106_1449,8,9,0.83,0.8088888888888888,1316.8
disincentivized strategic,reputation = 0,081106_1449,8,10,0.79,0.807,1471.4
disincentivized strategic,reputation = 0,081106_1449,8,11,0.87,0.8127272727272726,1622.0
disincentivized strategic,reputation = 0,081106_1449,8,12,0.8,0.8116666666666666,1778.0
disincentivized strategic,reputation = 0,081106_1449,8,13,0.85,0.8146153846153846,1925.0
disincentivized strategic,reputation = 0,081106_1449,8,14,0.85,0.8171428571428571,2072.0
disincentivized strategic,reputation = 0,081106_1449,8,15,0.85,0.8193333333333332,2219.0
disincentivized strategic,reputation = 0,081106_1449,8,16,0.85,0.8212499999999999,2366.0
disincentivized strategic,reputation = 0,081106_1449,8,17,0.85,0.8229411764705882,2513.0
disincentivized strategic,reputation = 0,081106_1449,8,18,0.85,0.8244444444444443,2659.2
disincentivized strategic,reputation = 0,081106_1449,8,19,0.86,0.8263157894736841,2807.6001
disincentivized strategic,reputation = 0,081106_1449,8,20,0.84,0.827,2956.3999
disincentivized strategic,reputation = 0,081106_1449,8,21,0.84,0.8276190476190476,3103.6001
disincentivized strategic,reputation = 0,081106_1449,8,22,0.83,0.8277272727272726,3257.3999
disincentivized strategic,reputation = 0,081106_1449,8,23,0.87,0.8295652173913043,3404.0
disincentivized strategic,reputation = 0,081106_1449,8,24,0.81,0.8287499999999999,3551.8
disincentivized strategic,reputation = 0,081106_1449,9,1,0.5,0.5,154.0
disincentivized strategic,reputation = 0,081106_1449,9,2,0.8,0.65,302.0
disincentivized strategic,reputation = 0,081106_1449,9,3,0.8,0.7000000000000001,426.0
disincentivized strategic,reputation = 0,081106_1449,9,4,0.2,0.5750000000000001,562.0
disincentivized strategic,reputation = 0,081106_1449,9,5,0.3,0.52,696.0
disincentivized strategic,reputation = 0,081106_1449,9,6,0.4,0.5,828.0
disincentivized strategic,reputation = 0,081106_1449,9,7,0.5,0.5,974.0
disincentivized strategic,reputation = 0,081106_1449,9,8,0.6,0.5125,1142.0
disincentivized strategic,reputation = 0,081106_1449,9,9,1.0,0.5666666666666667,1302.0
disincentivized strategic,reputation = 0,081106_1449,9,10,1.0,0.61,1462.0
disincentivized strategic,reputation = 0,081106_1449,9,11,1.0,0.6454545454545454,1622.0
disincentivized strategic,reputation = 0,081106_1449,9,12,1.0,0.6749999999999999,1782.0
disincentivized strategic,reputation = 0,081106_1449,9,13,1.0,0.7,1942.0
disincentivized strategic,reputation = 0,081106_1449,9,14,1.0,0.7214285714285714,2102.0
disincentivized strategic,reputation = 0,081106_1449,9,15,1.0,0.74,2262.0
