reputation,group,player,round,action,payoff,avg_action,wealth
reputation = 0,3,9,30,0.0,35,0.4,1160
reputation = 0,3,10,1,,35,,35
reputation = 0,3,10,2,0.0,70,0.0,105
reputation = 0,3,10,3,1.0,0,0.5,105
reputation = 0,3,10,4,1.0,50,0.6666666666666666,155
reputation = 0,3,10,5,0.0,35,0.5,190
reputation = 0,3,10,6,0.0,70,0.4,260
reputation = 0,3,10,7,1.0,50,0.5,310
reputation = 0,3,10,8,,35,0.5,345
reputation = 0,3,10,9,,35,0.5,380
reputation = 0,3,10,10,0.0,35,0.42857142857142855,415
reputation = 0,3,10,11,,35,0.42857142857142855,450
reputation = 0,3,10,12,0.0,35,0.375,485
reputation = 0,3,10,13,0.0,35,0.3333333333333333,520
reputation = 0,3,10,14,,35,0.3333333333333333,555
reputation = 0,3,10,15,0.0,35,0.3,590
reputation = 0,3,10,16,0.0,35,0.2727272727272727,625
reputation = 0,3,10,17,1.0,0,0.3333333333333333,625
reputation = 0,3,10,18,,35,0.3333333333333333,660
reputation = 0,3,10,19,1.0,50,0.38461538461538464,710
reputation = 0,3,10,20,,35,0.38461538461538464,745
reputation = 0,3,10,21,0.0,35,0.35714285714285715,780
reputation = 0,3,10,22,,35,0.35714285714285715,815
reputation = 0,3,10,23,0.0,70,0.3333333333333333,885
reputation = 0,3,10,24,0.0,70,0.3125,955
reputation = 0,3,10,25,,35,0.3125,990
reputation = 0,3,10,26,0.0,35,0.29411764705882354,1025
reputation = 0,3,10,27,0.0,35,0.2777777777777778,1060
reputation = 0,3,10,28,0.0,35,0.2631578947368421,1095
reputation = 0,3,10,29,,35,0.2631578947368421,1130
reputation = 0,3,10,30,0.0,35,0.25,1165
reputation = 0,3,11,1,1.0,50,1.0,50
reputation = 0,3,11,2,1.0,50,1.0,100
reputation = 0,3,11,3,1.0,50,1.0,150
reputation = 0,3,11,4,0.0,35,0.75,185
reputation = 0,3,11,5,0.0,35,0.6,220
reputation = 0,3,11,6,1.0,50,0.6666666666666666,270
reputation = 0,3,11,7,0.0,70,0.5714285714285714,340
reputation = 0,3,11,8,0.0,35,0.5,375
reputation = 0,3,11,9,0.0,70,0.4444444444444444,445
reputation = 0,3,11,10,0.0,35,0.4,480
reputation = 0,3,11,11,,35,0.4,515
reputation = 0,3,11,12,0.0,35,0.36363636363636365,550
reputation = 0,3,11,13,0.0,35,0.3333333333333333,585
reputation = 0,3,11,14,1.0,50,0.38461538461538464,635
reputation = 0,3,11,15,1.0,0,0.42857142857142855,635
reputation = 0,3,11,16,1.0,50,0.4666666666666667,685
reputation = 0,3,11,17,1.0,0,0.5,685
reputation = 0,3,11,18,0.0,70,0.47058823529411764,755
reputation = 0,3,11,19,0.0,35,0.4444444444444444,790
reputation = 0,3,11,20,1.0,50,0.47368421052631576,840
reputation = 0,3,11,21,,35,0.47368421052631576,875
reputation = 0,3,11,22,0.0,70,0.45,945
reputation = 0,3,11,23,,35,0.45,980
reputation = 0,3,11,24,,35,0.45,1015
reputation = 0,3,11,25,,35,0.45,1050
