reputation,group,player,round,action,avg_action,wealth
reputation = 0,1,11,17,0,0.11764705882352941,
reputation = 0,1,11,18,0,0.1111111111111111,
reputation = 0,1,11,19,0,0.10526315789473684,
reputation = 0,1,11,20,0,0.1,
reputation = 0,1,11,21,0,0.09523809523809523,
reputation = 0,1,11,22,0,0.09090909090909091,
reputation = 0,1,11,23,0,0.08695652173913043,
reputation = 0,1,11,24,0,0.08333333333333333,
reputation = 0,1,11,25,0,0.08,1970.0
reputation = 0,1,12,1,0,0.0,
reputation = 0,1,12,2,0,0.0,
reputation = 0,1,12,3,0,0.0,
reputation = 0,1,12,4,0,0.0,
reputation = 0,1,12,5,0,0.0,
reputation = 0,1,12,6,0,0.0,
reputation = 0,1,12,7,1,0.14285714285714285,
reputation = 0,1,12,8,0,0.125,
reputation = 0,1,12,9,0,0.1111111111111111,
reputation = 0,1,12,10,0,0.1,
reputation = 0,1,12,11,0,0.09090909090909091,
reputation = 0,1,12,12,1,0.16666666666666666,
reputation = 0,1,12,13,0,0.15384615384615385,
reputation = 0,1,12,14,0,0.14285714285714285,
reputation = 0,1,12,15,0,0.13333333333333333,
reputation = 0,1,12,16,1,0.1875,
reputation = 0,1,12,17,0,0.17647058823529413,
reputation = 0,1,12,18,0,0.16666666666666666,
reputation = 0,1,12,19,0,0.15789473684210525,
reputation = 0,1,12,20,1,0.2,
reputation = 0,1,12,21,0,0.19047619047619047,
reputation = 0,1,12,22,1,0.22727272727272727,
reputation = 0,1,12,23,0,0.21739130434782608,
reputation = 0,1,12,24,0,0.20833333333333334,
reputation = 0,1,12,25,1,0.24,1322.0
reputation = 0,1,13,1,1,1.0,
reputation = 0,1,13,2,0,0.5,
reputation = 0,1,13,3,0,0.3333333333333333,
reputation = 0,1,13,4,0,0.25,
reputation = 0,1,13,5,0,0.2,
reputation = 0,1,13,6,0,0.16666666666666666,
reputation = 0,1,13,7,0,0.14285714285714285,
reputation = 0,1,13,8,0,0.125,
reputation = 0,1,13,9,0,0.1111111111111111,
reputation = 0,1,13,10,0,0.1,
reputation = 0,1,13,11,0,0.09090909090909091,
reputation = 0,1,13,12,0,0.08333333333333333,
reputation = 0,1,13,13,0,0.07692307692307693,
reputation = 0,1,13,14,0,0.07142857142857142,
reputation = 0,1,13,15,0,0.06666666666666667,
reputation = 0,1,13,16,0,0.0625,
reputation = 0,1,13,17,0,0.058823529411764705,
reputation = 0,1,13,18,0,0.05555555555555555,
reputation = 0,1,13,19,0,0.05263157894736842,
reputation = 0,1,13,20,0,0.05,
reputation = 0,1,13,21,0,0.047619047619047616,
reputation = 0,1,13,22,0,0.045454545454545456,
reputation = 0,1,13,23,0,0.043478260869565216,
reputation = 0,1,13,24,0,0.041666666666666664,
reputation = 0,1,13,25,0,0.04,1807.0
reputation = 0,1,14,1,1,1.0,
reputation = 0,1,14,2,1,1.0,
reputation = 0,1,14,3,0,0.6666666666666666,
reputation = 0,1,14,4,0,0.5,
reputation = 0,1,14,5,0,0.4,
reputation = 0,1,14,6,0,0.3333333333333333,
reputation = 0,1,14,7,0,0.2857142857142857,
reputation = 0,1,14,8,0,0.25,
reputation = 0,1,14,9,0,0.2222222222222222,
reputation = 0,1,14,10,0,0.2,
reputation = 0,1,14,11,0,0.18181818181818182,
reputation = 0,1,14,12,0,0.16666666666666666,
reputation = 0,1,14,13,0,0.15384615384615385,
reputation = 0,1,14,14,0,0.14285714285714285,
reputation = 0,1,14,15,0,0.13333333333333333,
reputation = 0,1,14,16,0,0.125,
reputation = 0,1,14,17,0,0.11764705882352941,
reputation = 0,1,14,18,0,0.1111111111111111,
reputation = 0,1,14,19,0,0.10526315789473684,
reputation = 0,1,14,20,0,0.1,
reputation = 0,1,14,21,0,0.09523809523809523,
reputation = 0,1,14,22,0,0.09090909090909091,
reputation = 0,1,14,23,0,0.08695652173913043,
reputation = 0,1,14,24,0,0.08333333333333333,
reputation = 0,1,14,25,0,0.08,1624.0
reputation = 0,1,15,1,0,0.0,
reputation = 0,1,15,2,0,0.0,
reputation = 0,1,15,3,0,0.0,
reputation = 0,1,15,4,0,0.0,
reputation = 0,1,15,5,0,0.0,
reputation = 0,1,15,6,0,0.0,
reputation = 0,1,15,7,0,0.0,
reputation = 0,1,15,8,0,0.0,
reputation = 0,1,15,9,0,0.0,
reputation = 0,1,15,10,0,0.0,
reputation = 0,1,15,11,0,0.0,
reputation = 0,1,15,12,0,0.0,
reputation = 0,1,15,13,0,0.0,
reputation = 0,1,15,14,0,0.0,
reputation = 0,1,15,15,0,0.0,
reputation = 0,1,15,16,0,0.0,
reputation = 0,1,15,17,0,0.0,
reputation = 0,1,15,18,0,0.0,
reputation = 0,1,15,19,0,0.0,
reputation = 0,1,15,20,0,0.0,
reputation = 0,1,15,21,0,0.0,
reputation = 0,1,15,22,0,0.0,
reputation = 0,1,15,23,0,0.0,
reputation = 0,1,15,24,0,0.0,
reputation = 0,1,15,25,0,0.0,1560.0
reputation = 0,1,16,1,1,1.0,
reputation = 0,1,16,2,1,1.0,
reputation = 0,1,16,3,1,1.0,
reputation = 0,1,16,4,1,1.0,
reputation = 0,1,16,5,1,1.0,
reputation = 0,1,16,6,1,1.0,
reputation = 0,1,16,7,1,1.0,
reputation = 0,1,16,8,1,1.0,
reputation = 0,1,16,9,1,1.0,
reputation = 0,1,16,10,1,1.0,
reputation = 0,1,16,11,1,1.0,
reputation = 0,1,16,12,1,1.0,
reputation = 0,1,16,13,1,1.0,
reputation = 0,1,16,14,1,1.0,
reputation = 0,1,16,15,1,1.0,
reputation = 0,1,16,16,1,1.0,
reputation = 0,1,16,17,1,1.0,
reputation = 0,1,16,18,1,1.0,
reputation = 0,1,16,19,1,1.0,
reputation = 0,1,16,20,1,1.0,
reputation = 0,1,16,21,1,1.0,
reputation = 0,1,16,22,1,1.0,
reputation = 0,1,16,23,1,1.0,
reputation = 0,1,16,24,1,1.0,
reputation = 0,1,16,25,1,1.0,1099.0
reputation = 0,1,17,1,0,0.0,
reputation = 0,1,17,2,0,0.0,
reputation = 0,1,17,3,0,0.0,
reputation = 0,1,17,4,0,0.0,
reputation = 0,1,17,5,0,0.0,
reputation = 0,1,17,6,0,0.0,
reputation = 0,1,17,7,0,0.0,
reputation = 0,1,17,8,0,0.0,
reputation = 0,1,17,9,1,0.1111111111111111,
reputation = 0,1,17,10,0,0.1,
reputation = 0,1,17,11,0,0.09090909090909091,
reputation = 0,1,17,12,0,0.08333333333333333,
reputation = 0,1,17,13,0,0.07692307692307693,
reputation = 0,1,17,14,0,0.07142857142857142,
reputation = 0,1,17,15,0,0.06666666666666667,
reputation = 0,1,17,16,0,0.0625,
reputation = 0,1,17,17,0,0.058823529411764705,
reputation = 0,1,17,18,0,0.05555555555555555,
reputation = 0,1,17,19,0,0.05263157894736842,
reputation = 0,1,17,20,0,0.05,
reputation = 0,1,17,21,0,0.047619047619047616,
reputation = 0,1,17,22,1,0.09090909090909091,
reputation = 0,1,17,23,0,0.08695652173913043,
reputation = 0,1,17,24,0,0.08333333333333333,
