reputation,group,player,round,action,payoff,avg_action,wealth
reputation = 0,040909,1019,5,0,20,0.2,160
reputation = 0,040909,1019,6,0,20,0.16666666666666666,180
reputation = 0,040909,1019,7,0,20,0.14285714285714285,200
reputation = 0,040909,1019,8,0,20,0.125,220
reputation = 0,040909,1019,9,0,90,0.1111111111111111,310
reputation = 0,040909,1019,10,0,20,0.1,330
reputation = 0,040909,1019,11,0,20,0.09090909090909091,350
reputation = 0,040909,1019,12,0,20,0.08333333333333333,370
reputation = 0,040909,1019,13,0,20,0.07692307692307693,390
reputation = 0,040909,1019,14,0,20,0.07142857142857142,410
reputation = 0,040909,1019,15,0,20,0.06666666666666667,430
reputation = 0,040909,1019,16,0,20,0.0625,450
reputation = 0,040909,1019,17,0,90,0.058823529411764705,540
reputation = 0,040909,1019,18,0,20,0.05555555555555555,560
reputation = 0,040909,1019,19,0,20,0.05263157894736842,580
reputation = 0,040909,1019,20,0,20,0.05,600
reputation = 0,040909,1019,21,0,20,0.047619047619047616,620
reputation = 0,040909,1019,22,0,20,0.045454545454545456,640
reputation = 0,040909,1019,23,0,20,0.043478260869565216,660
reputation = 0,040909,1019,24,0,20,0.041666666666666664,680
reputation = 0,040909,1020,1,0,20,0.0,20
reputation = 0,040909,1020,2,1,80,0.5,100
reputation = 0,040909,1020,3,0,20,0.3333333333333333,120
reputation = 0,040909,1020,4,1,10,0.5,130
reputation = 0,040909,1020,5,1,10,0.6,140
reputation = 0,040909,1020,6,1,10,0.6666666666666666,150
reputation = 0,040909,1020,7,0,20,0.5714285714285714,170
reputation = 0,040909,1020,8,0,20,0.5,190
reputation = 0,040909,1020,9,1,10,0.5555555555555556,200
reputation = 0,040909,1020,10,0,20,0.5,220
reputation = 0,040909,1020,11,0,20,0.45454545454545453,240
reputation = 0,040909,1020,12,0,20,0.4166666666666667,260
reputation = 0,040909,1020,13,0,90,0.38461538461538464,350
reputation = 0,040909,1020,14,0,20,0.35714285714285715,370
reputation = 0,040909,1020,15,0,20,0.3333333333333333,390
reputation = 0,040909,1020,16,0,20,0.3125,410
reputation = 0,040909,1020,17,0,20,0.29411764705882354,430
reputation = 0,040909,1020,18,0,90,0.2777777777777778,520
reputation = 0,040909,1020,19,0,20,0.2631578947368421,540
reputation = 0,040909,1020,20,0,20,0.25,560
reputation = 0,040909,1020,21,0,20,0.23809523809523808,580
reputation = 0,040909,1020,22,0,20,0.22727272727272727,600
reputation = 0,040909,1020,23,0,20,0.21739130434782608,620
reputation = 0,040909,1020,24,0,20,0.20833333333333334,640
reputation = 0,040909,1021,1,0,20,0.0,20
reputation = 0,040909,1021,2,0,20,0.0,40
reputation = 0,040909,1021,3,0,20,0.0,60
reputation = 0,040909,1021,4,0,20,0.0,80
reputation = 0,040909,1021,5,0,90,0.0,170
reputation = 0,040909,1021,6,0,20,0.0,190
reputation = 0,040909,1021,7,0,20,0.0,210
reputation = 0,040909,1021,8,0,20,0.0,230
reputation = 0,040909,1021,9,0,20,0.0,250
reputation = 0,040909,1021,10,0,90,0.0,340
reputation = 0,040909,1021,11,0,20,0.0,360
reputation = 0,040909,1021,12,0,20,0.0,380
reputation = 0,040909,1021,13,0,20,0.0,400
reputation = 0,040909,1021,14,0,20,0.0,420
reputation = 0,040909,1021,15,0,20,0.0,440
reputation = 0,040909,1021,16,0,20,0.0,460
reputation = 0,040909,1021,17,0,20,0.0,480
reputation = 0,040909,1021,18,0,20,0.0,500
reputation = 0,040909,1021,19,0,20,0.0,520
reputation = 0,040909,1021,20,0,20,0.0,540
reputation = 0,040909,1021,21,0,20,0.0,560
reputation = 0,040909,1021,22,0,20,0.0,580
reputation = 0,040909,1021,23,0,20,0.0,600
reputation = 0,040909,1021,24,0,20,0.0,620
reputation = 0,040909,1022,1,0,90,0.0,90
reputation = 0,040909,1022,2,0,20,0.0,110
reputation = 0,040909,1022,3,0,90,0.0,200
reputation = 0,040909,1022,4,0,90,0.0,290
reputation = 0,040909,1022,5,0,20,0.0,310
reputation = 0,040909,1022,6,0,20,0.0,330
reputation = 0,040909,1022,7,0,20,0.0,350
